train/value_loss,train/learning_rate,train/explained_variance,time/total_timesteps,train/policy_loss,time/iterations,time/time_elapsed,train/n_updates,time/fps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
5.773728023461544e-11,0.0007,0.0001246929168701172,87500,-3.601118351070909e-06,1500,8,17499,837,-0.7083263993263245,,
6.763166915391139e-09,0.0007,1.1920928955078125e-07,88000,-3.850176290143281e-05,1600,9,17599,839,-0.4777945578098297,,
6.378855914590531e-07,0.0007,0.0,88500,-7.60815146350069e-06,1700,10,17699,843,-0.06205664947628975,,
1.440909631195142e-11,0.0007,0.0009340643882751465,89000,-2.275327233292046e-06,1800,10,17799,844,-0.7438392043113708,,
4.496534700138e-09,0.0007,7.748603820800781e-07,89500,-2.786186450975947e-05,1900,11,17899,847,-0.4356076717376709,,
2.549902546888916e-07,0.0007,0.07499748468399048,90000,-0.0003133729915134609,,,17999,,-0.4046827256679535,300.0,-2.9999999329447746
,,,90000,,2000,12,,813,,,
7.45578798699853e-09,0.0007,8.940696716308594e-07,90500,-2.5209806153725367e-06,100,0,18099,922,-0.14493227005004883,,
2.0451120690268e-06,0.0007,0.0,91000,-0.00011628132779151201,200,1,18199,893,-0.32748350501060486,,
1.6783019201813132e-12,0.0007,0.00043195486068725586,91500,-4.673493592122213e-08,300,1,18299,898,-0.18275924026966095,,
6.8962400234795496e-09,0.0007,1.7881393432617188e-06,92000,-9.215478939950117e-07,400,2,18399,896,-0.0770743191242218,,
0.00023423926904797554,0.0007,0.0,92500,0.009945554658770561,500,2,18499,899,-0.2601231336593628,,
7.482015007553855e-12,0.0007,0.006772458553314209,93000,-6.234437819330196e-07,600,3,18599,896,-0.2675730586051941,,
0.0,0.0007,1.0,93500,-0.0,700,3,18699,890,-0.07806701958179474,,
2.123475496773608e-06,0.0007,0.0,94000,-1.1500389518914744e-05,800,4,18799,894,-0.054776567965745926,,
1.8387425262944568e-11,0.0007,0.000691831111907959,94500,-2.0241703424517254e-08,900,5,18899,895,-0.036600351333618164,,
1.5304266742788286e-09,0.0007,0.0,95000,-2.4237786419689655e-05,,,18999,,-0.7172866463661194,300.0,-2.9999999329447746
,,,95000,,1000,6,,821,,,
7.24531503237813e-07,0.0007,0.0,95500,-0.0005169067298993468,1100,6,19099,817,-0.7138331532478333,,
1.8387425262944568e-11,0.0007,0.0015551447868347168,96000,-2.762115855148295e-06,1200,7,19199,817,-0.4867379069328308,,
3.4866759479612597e-10,0.0007,0.0,96500,-2.586296545814548e-07,1300,7,19299,819,-0.08582047373056412,,
1.3295759799802909e-06,0.0007,0.0,97000,-0.000754117383621633,1400,8,19399,819,-0.7234958410263062,,
0.0,0.0007,1.0,97500,-0.0,1500,9,19499,809,-0.6232324242591858,,
4.1022901742238105e-10,0.0007,4.851818084716797e-05,98000,-3.1003787626104895e-07,1600,9,19599,810,-0.09297619760036469,,
4.020992037112592e-06,0.0007,0.0,98500,-0.00011654027184704319,1700,10,19699,813,-0.23816993832588196,,
1.2657466741394785e-10,0.0007,2.4974346160888672e-05,99000,-5.82166080675961e-07,1800,11,19799,816,-0.2246977984905243,,
7.207745511550456e-11,0.0007,4.3332576751708984e-05,99500,6.454114895859675e-07,1900,11,19899,819,-0.2909466624259949,,
2.2413987608160824e-06,0.0007,0.0,100000,-0.0009413924999535084,,,19999,,-0.7095049023628235,300.0,-2.9999999329447746
,,,100000,,2000,12,,784,,,
1.525043558103789e-07,0.0007,0.0,100500,-1.374118437524885e-05,100,0,20099,641,-0.17036622762680054,,
4.507536232267739e-06,0.0007,0.0,101000,-0.0001511418231530115,200,1,20199,623,-0.2778516113758087,,
0.0,0.0007,nan,101500,-0.0,300,2,20299,653,-0.47568923234939575,,
1.4673914860985349e-10,0.0007,4.9114227294921875e-05,102000,-1.2620737834367901e-05,400,2,20399,679,-0.15560421347618103,,
3.232810968256672e-06,0.0007,0.0,102500,-0.00012978253653272986,500,3,20499,703,-0.2813129723072052,,
0.0,0.0007,nan,103000,-0.0,600,4,20599,723,-0.7137356400489807,,
5.455049745251017e-10,0.0007,1.3709068298339844e-06,103500,-1.825561594159808e-05,700,4,20699,740,-0.5184653401374817,,
1.8946850559586892e-06,0.0007,0.0,104000,-0.00020950823090970516,800,5,20799,755,-0.4462427496910095,,
6.252776074688882e-13,0.0007,0.0,104500,-6.258629525746073e-08,900,5,20899,764,-0.2965078055858612,,
4.334851837484166e-07,0.0007,-1202.464599609375,105000,-0.0009802484419196844,,,20999,,-0.7957523465156555,300.0,-2.9999999329447746
,,,105000,,1000,6,,715,,,
2.4389617465203628e-05,0.0007,0.0,105500,-0.00014017285138834268,1100,7,21099,718,-0.1444070190191269,,
7.482015007553855e-12,0.0007,0.0051934123039245605,106000,-1.9180924937245436e-07,1200,8,21199,727,-0.2757629156112671,,
2.5750528820367435e-08,0.0007,4.76837158203125e-07,106500,-9.726684947963804e-05,1300,8,21299,738,-0.7097475528717041,,
1.255046754522482e-06,0.0007,0.0,107000,-0.0006527637015096843,1400,9,21399,745,-0.6920799612998962,,
9.689670940615791e-12,0.0007,0.004061400890350342,107500,-1.0931046290352242e-07,1500,9,21499,751,-0.17929385602474213,,
